provinsi,kab_kota,kecamatan,desa_kelurahan,tps,suara_A,suara_B,suara_C,suara_sah
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005001,17.0,101.0,82.0,200.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005002,24.0,89.0,52.0,165.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005003,28.0,131.0,68.0,227.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005004,23.0,96.0,110.0,229.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005005,46.0,90.0,115.0,251.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005006,24.0,91.0,129.0,244.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005007,35.0,111.0,89.0,235.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005008,57.0,116.0,68.0,241.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005009,42.0,132.0,95.0,269.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005010,45.0,120.0,80.0,245.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005011,46.0,131.0,83.0,260.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005012,50.0,106.0,81.0,237.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005013,54.0,108.0,78.0,240.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005014,68.0,107.0,71.0,246.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005015,27.0,134.0,72.0,233.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005016,14.0,107.0,104.0,225.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005017,13.0,120.0,85.0,218.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005018,28.0,106.0,86.0,220.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005019,42.0,121.0,96.0,259.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005020,36.0,132.0,80.0,248.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005021,21.0,122.0,93.0,236.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005022,22.0,133.0,91.0,246.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005023,24.0,106.0,86.0,216.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005024,21.0,130.0,103.0,254.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005025,45.0,71.0,44.0,160.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005026,52.0,45.0,49.0,146.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005027,32.0,128.0,64.0,224.0
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005028,46.0,127.0,67.0,240.0
