provinsi,kab_kota,kecamatan,desa_kelurahan,tps,suara_A,suara_B,suara_C,suara_sah
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005001,17,101,82,200
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005002,24,89,52,165
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005003,28,131,68,227
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005004,23,96,110,229
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005005,46,90,115,251
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005006,24,91,129,244
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005007,35,111,89,235
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005008,57,116,68,241
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005009,42,132,95,269
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005010,45,120,80,245
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005011,46,131,83,260
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005012,50,106,81,237
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005013,54,108,78,240
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005014,68,107,71,246
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005015,27,134,72,233
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005016,14,107,104,225
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005017,13,120,85,218
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005018,28,106,86,220
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005019,42,121,96,259
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005020,36,132,80,248
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005021,21,122,93,236
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005022,22,133,91,246
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005023,24,106,86,216
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005024,21,130,103,254
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005025,45,71,44,160
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005026,52,45,49,146
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005027,32,128,64,224
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005028,46,127,67,240
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005029,31,140,77,248
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005030,69,92,68,229
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,BANYUMANIK,3374111005033,64,96,71,231
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002001,32,134,70,236
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002003,9,105,72,186
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002004,30,118,99,247
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002005,17,97,80,194
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002007,28,125,69,222
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002009,61,111,101,273
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002011,25,78,41,144
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002012,83,98,62,243
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002014,101,70,66,237
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002015,23,101,62,186
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002016,73,100,76,249
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002017,39,99,34,172
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002019,29,75,37,141
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002020,31,100,50,181
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002021,77,101,59,237
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002022,81,114,41,236
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002024,39,76,28,143
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002025,24,89,104,217
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002026,40,86,77,203
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002028,57,107,60,224
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,GEDAWANG,3374111002030,40,103,47,190
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003002,52,132,72,256
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003003,38,129,86,253
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003004,44,136,38,218
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003005,24,105,72,201
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003006,14,86,49,149
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003007,138,5,143,286
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003008,16,114,130,260
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003009,12,99,87,198
JAWA TENGAH,KOTA SEMARANG,BANYUMANIK,JABUNGAN,3374111003011,25,78,41,144
