id,origin_url,jumlah_suara_pasangan01_anies_imin,jumlah_suara_pasangan02_prabowo_gibran,jumlah_suara_pasangan03_ganjar_mahfud,image_urls,suara_sah,suara_tidak_sah,suara_total,pemilih_dpt_total,pemilih_dpt_lelaki,pemilih_dpt_perempuan,pengguna_dpt_total,pengguna_dpt_lelaki,pengguna_dpt_perempuan,pengguna_dptb_total,pengguna_dptb_lelaki,pengguna_dptb_perempuan,pengguna_total,pengguna_total_lelaki,pengguna_total_perempuan,pengguna_non_dpt_total,pengguna_non_dpt_lelaki,pengguna_non_dpt_perempuan,psu,status_suara,status_adm,ts,lastupdated,tps_id,nama_tps,kelurahan_id,nama_kelurahan,kecamatan_id,nama_kecamatan,kota_id,nama_kota,provinsi_id,nama_provinsi
3374111005001,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005001,17,101,82,"https://sirekap-obj-formc.kpu.go.id/32d9/pemilu/ppwp/33/74/11/10/05/3374111005001-20240215-232758--63d78739-fcb0-4055-806b-52f399897bc7.jpg, https://sirekap-obj-formc.kpu.go.id/32d9/pemilu/ppwp/33/74/11/10/05/3374111005001-20240214-193316--170ea274-5136-4482-8583-4e6665158175.jpg, https://sirekap-obj-formc.kpu.go.id/32d9/pemilu/ppwp/33/74/11/10/05/3374111005001-20240214-214721--b6f22a2a-1058-4884-834d-5fe073f7d8ed.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-15 23:29:50,2024-03-11 13:38:29.774,48049001,TPS 001,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005002,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005002,24,89,52,"https://sirekap-obj-formc.kpu.go.id/3803/pemilu/ppwp/33/74/11/10/05/3374111005002-20240215-004420--302ae236-59ff-4c57-9f12-92b2a86a3e39.jpg, https://sirekap-obj-formc.kpu.go.id/3803/pemilu/ppwp/33/74/11/10/05/3374111005002-20240218-165416--920afffa-d2e8-4cfd-a10c-d2c1e4c2dd86.jpg, https://sirekap-obj-formc.kpu.go.id/3803/pemilu/ppwp/33/74/11/10/05/3374111005002-20240218-170612--bdfe1adc-aa11-400f-8d5d-9bbed53b3ade.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-22 15:00:00,2024-03-11 13:38:29.774,48049002,TPS 002,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005003,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005003,28,131,68,"https://sirekap-obj-formc.kpu.go.id/9834/pemilu/ppwp/33/74/11/10/05/3374111005003-20240214-160126--5661c68e-8c98-4632-b795-6fb70b0e9be7.jpg, https://sirekap-obj-formc.kpu.go.id/9834/pemilu/ppwp/33/74/11/10/05/3374111005003-20240214-160145--89fafc33-891b-4ff0-af64-aa474e0232e6.jpg, https://sirekap-obj-formc.kpu.go.id/9834/pemilu/ppwp/33/74/11/10/05/3374111005003-20240214-160149--0973e813-499c-435a-ab1b-a434e77788aa.jpg",227,2,229,283,140,143,225,107,118,2,1,1,229,109,120,2,1,1,,True,True,2024-02-16 22:01:00,2024-03-11 13:38:29.774,48049003,TPS 003,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005004,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005004,23,96,110,"https://sirekap-obj-formc.kpu.go.id/9943/pemilu/ppwp/33/74/11/10/05/3374111005004-20240214-212026--2f552341-5cf7-430e-90d8-1d113ead259f.jpg, https://sirekap-obj-formc.kpu.go.id/9943/pemilu/ppwp/33/74/11/10/05/3374111005004-20240214-212047--81f58074-69d5-4f7b-9290-910e7c24f3e5.jpg, https://sirekap-obj-formc.kpu.go.id/9943/pemilu/ppwp/33/74/11/10/05/3374111005004-20240214-212104--86d66b17-d5de-4855-bac6-d678639c6a05.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-16 12:51:22,2024-03-11 13:38:29.774,48049004,TPS 004,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005005,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005005,46,90,115,", https://sirekap-obj-formc.kpu.go.id/9abd/pemilu/ppwp/33/74/11/10/05/3374111005005-20240215-145407--15e9765a-dce6-45db-8d90-d1b612bd35c4.jpg, ",,,,,,,,,,,,,,,,,,,,True,False,2024-02-16 16:25:10,2024-03-11 13:38:29.774,48049005,TPS 005,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005006,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005006,24,91,129,"https://sirekap-obj-formc.kpu.go.id/fc22/pemilu/ppwp/33/74/11/10/05/3374111005006-20240215-002556--d2b5052a-a6eb-4e34-9920-2b24d703d973.jpg, https://sirekap-obj-formc.kpu.go.id/fc22/pemilu/ppwp/33/74/11/10/05/3374111005006-20240214-233340--336c5df3-c99b-4afd-b127-0c938a721016.jpg, https://sirekap-obj-formc.kpu.go.id/fc22/pemilu/ppwp/33/74/11/10/05/3374111005006-20240220-163648--f08135fb-3c1a-449b-b0be-999e0baa167f.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-20 17:00:00,2024-03-11 13:38:29.774,48049006,TPS 006,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005007,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005007,35,111,89,"https://sirekap-obj-formc.kpu.go.id/d21a/pemilu/ppwp/33/74/11/10/05/3374111005007-20240220-164309--12392f34-8b6f-4645-b7f4-86b4526f250f.jpg, https://sirekap-obj-formc.kpu.go.id/d21a/pemilu/ppwp/33/74/11/10/05/3374111005007-20240220-164429--321bd10e-38ee-47c9-b349-c3ed0cbdc7fc.jpg, https://sirekap-obj-formc.kpu.go.id/d21a/pemilu/ppwp/33/74/11/10/05/3374111005007-20240220-164540--5dd50f1c-3967-4bc4-99a2-aadaee4545ca.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-22 15:00:00,2024-03-11 13:38:29.774,48049007,TPS 007,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005008,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005008,57,116,68,"https://sirekap-obj-formc.kpu.go.id/fc1c/pemilu/ppwp/33/74/11/10/05/3374111005008-20240220-165040--a5509755-8b4c-42d7-9e66-88c83718348f.jpg, https://sirekap-obj-formc.kpu.go.id/fc1c/pemilu/ppwp/33/74/11/10/05/3374111005008-20240220-165155--7167ef76-8aa3-4449-ba7a-bded1319efdd.jpg, https://sirekap-obj-formc.kpu.go.id/fc1c/pemilu/ppwp/33/74/11/10/05/3374111005008-20240220-165257--ea08ea32-beb5-4599-b0c1-75f3fde4ac8c.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-22 15:00:00,2024-03-11 13:38:29.774,48049008,TPS 008,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005009,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005009,42,132,95,"https://sirekap-obj-formc.kpu.go.id/f98c/pemilu/ppwp/33/74/11/10/05/3374111005009-20240220-165901--36e33292-a846-44ba-a935-ccd2c94bceff.jpg, https://sirekap-obj-formc.kpu.go.id/f98c/pemilu/ppwp/33/74/11/10/05/3374111005009-20240220-165950--747fd559-1b78-4a95-ade5-7237d48a279f.jpg, https://sirekap-obj-formc.kpu.go.id/f98c/pemilu/ppwp/33/74/11/10/05/3374111005009-20240220-170125--16b1dcf9-4bc3-4100-a76d-5c86010e9aa4.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-22 15:00:00,2024-03-11 13:38:29.774,48049009,TPS 009,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005010,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005010,45,120,80,"https://sirekap-obj-formc.kpu.go.id/c95d/pemilu/ppwp/33/74/11/10/05/3374111005010-20240215-054915--ff9fdabe-707a-49c3-98cf-66219a55b49a.jpg, https://sirekap-obj-formc.kpu.go.id/c95d/pemilu/ppwp/33/74/11/10/05/3374111005010-20240215-055331--703b1ca7-c272-41ee-9dc0-86274819ba0f.jpg, https://sirekap-obj-formc.kpu.go.id/c95d/pemilu/ppwp/33/74/11/10/05/3374111005010-20240215-055714--8433b3c0-bfbe-4313-9872-03eb2f0ccab8.jpg",245,7,252,280,137,143,245,114,131,2,1,1,252,118,134,5,3,2,,True,True,2024-02-16 01:30:27,2024-03-11 13:38:29.774,48049010,TPS 010,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
